"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_ctrl_d[y-True]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-yes-True-Question? [y/n] ]",""
"failed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-no-True-Question? [y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[y-y-True-Question? [Y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","0","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-user_input6-True-Question? [y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_ctrl_c",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[n--False-Question? [y/N] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[y--True-Question? [Y/n] ]",""
"failed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","0","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[y-n-True-Question? [Y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","0","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-user_input4-True-Question? [y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_ctrl_d[n-False]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","0","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-n-False-Question? [y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-user_input5-False-Question? [y/n] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[None-y-True-Question? [y/n] ]",""
"failed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","0","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[n-n-True-Question? [y/N] ]",""
"passed","Wed Jul 09 11:28:59 GMT 2025","Wed Jul 09 11:28:59 GMT 2025","1","tests","test_utils_ask_yes_no","","","","test_ask_yes_no_with_defaults[n-y-True-Question? [y/N] ]",""
